region,humidity_pct,rainfall_mm,proximity_to_water_km,household_size,sanitation_index,healthcare_access_index,skin_contact_occupation,disease_cases
Rift Valley,77.2,63.0,1.71,9,0.217,0.157,mining,50
Ashanti,80.5,83.5,3.7,8,0.056,0.489,farming,18
Western,72.1,164.8,3.43,2,0.47,0.294,trade,4
Volta,75.3,61.7,0.26,2,0.483,0.334,farming,9
Western,73.2,175.3,2.39,4,0.661,0.165,trade,13
Rift Valley,73.4,186.7,2.11,3,0.385,0.574,fishing,5
Western,56.7,77.8,3.01,2,0.369,0.179,fishing,6
Rivers,67.4,65.5,2.52,7,0.297,0.654,education,8
Greater Accra,73.1,136.7,4.12,6,0.632,0.454,farming,1
Ashanti,64.2,81.9,9.22,3,0.064,0.533,education,5
Northern,67.2,234.0,2.16,2,0.364,0.484,farming,2
Kano,63.8,80.9,3.36,4,0.487,0.663,trade,0
Plateau,68.7,9.8,7.02,6,0.378,0.25,farming,8
Kaduna,80.5,86.3,1.33,6,0.308,0.473,mining,13
Volta,67.9,141.6,1.17,6,0.702,0.583,mining,5
Eastern,70.5,74.6,0.7,7,0.391,0.305,fishing,27
Nairobi,80.1,32.0,0.94,3,0.316,0.542,education,14
Coast,78.4,164.9,2.85,4,0.459,0.378,education,10
Greater Accra,89.0,27.4,8.69,3,0.587,0.437,trade,0
Eastern,51.1,84.9,3.67,4,0.61,0.119,farming,8
Kaduna,80.6,70.4,8.7,7,0.417,0.425,education,10
Kano,67.2,78.5,10.81,1,0.18,0.254,farming,12
Western,73.3,111.3,4.95,7,0.426,0.508,mining,7
Cross River,80.4,195.4,8.21,3,0.031,0.196,fishing,28
Kano,82.8,166.8,17.42,1,0.29,0.236,fishing,0
Kano,82.4,135.2,3.75,8,0.392,0.478,mining,24
Plateau,73.6,147.8,9.22,2,0.565,0.354,education,0
Rivers,88.1,221.2,1.26,6,0.309,0.352,fishing,26
Western,69.2,121.5,0.63,4,0.222,0.443,farming,22
Coast,70.6,228.1,1.05,1,0.414,0.054,farming,26
Coast,80.0,71.7,7.36,6,0.57,0.293,farming,19
Nyanza,66.5,63.3,0.64,3,0.252,0.251,farming,20
Rift Valley,93.6,86.2,0.19,1,0.4,0.091,trade,31
Northern,82.2,256.4,1.92,5,0.248,0.211,mining,25
Northern,93.8,88.9,5.04,2,0.518,0.641,education,0
Plateau,71.7,132.6,1.25,4,0.293,0.087,fishing,39
Plateau,68.2,51.9,1.57,7,0.121,0.633,trade,27
Nairobi,73.7,123.0,5.2,7,0.336,0.528,farming,6
Western,79.3,60.4,6.65,5,0.368,0.289,fishing,22
Northern,66.1,120.4,7.17,7,0.346,0.29,trade,15
Eastern,75.8,107.1,8.88,3,0.362,0.185,fishing,15
Greater Accra,71.8,115.5,4.4,7,0.263,0.445,trade,12
Ashanti,88.2,69.6,6.19,8,0.503,0.221,trade,17
Nyanza,65.4,105.2,1.59,3,0.65,0.294,farming,11
Eastern,82.5,33.0,0.86,3,0.332,0.19,education,45
Northern,65.6,229.4,3.04,4,0.202,0.819,mining,0
Eastern,62.4,112.3,6.03,5,0.419,0.262,trade,10
Northern,64.9,141.6,11.12,3,0.105,0.738,fishing,0
Greater Accra,60.1,220.6,6.58,3,0.408,0.217,farming,6
Eastern,73.5,184.4,1.3,3,0.468,0.222,mining,22
Plateau,82.3,65.7,2.49,3,0.413,0.117,farming,22
Rivers,73.6,150.9,5.81,3,0.099,0.56,fishing,9
Volta,78.2,66.4,7.04,3,0.115,0.268,mining,22
Kaduna,88.3,19.8,1.42,4,0.276,0.499,mining,14
Western,74.7,125.4,3.27,3,0.322,0.21,farming,21
Coast,74.0,174.8,7.02,1,0.657,0.354,farming,0
Kaduna,69.2,29.4,6.22,2,0.218,0.335,mining,10
Greater Accra,55.9,82.4,10.73,5,0.335,0.714,fishing,0
Volta,79.6,158.1,2.98,3,0.086,0.056,farming,32
Nairobi,54.4,165.4,13.46,5,0.096,0.286,trade,12
Cross River,78.5,74.5,4.18,5,0.144,0.538,farming,15
Lagos,71.9,44.3,3.27,4,0.45,0.419,fishing,6
Volta,83.3,142.2,4.22,6,0.098,0.628,farming,17
Ashanti,71.3,112.1,0.33,4,0.188,0.263,fishing,27
Rivers,63.8,120.6,0.89,3,0.25,0.566,mining,20
Plateau,75.6,188.4,6.02,7,0.372,0.246,mining,22
Cross River,66.4,50.0,5.37,9,0.49,0.369,farming,10
Eastern,70.2,64.0,5.32,1,0.533,0.234,fishing,5
Eastern,72.4,164.4,4.43,6,0.288,0.376,farming,18
Western,70.7,48.2,0.41,6,0.507,0.139,trade,22
Rivers,70.1,184.7,4.14,4,0.083,0.192,fishing,19
Plateau,63.7,168.0,0.57,6,0.322,0.719,farming,10
Volta,70.1,140.1,2.75,6,0.264,0.657,fishing,3
Northern,50.6,140.9,3.52,8,0.714,0.42,fishing,0
Kaduna,70.4,40.5,0.2,2,0.421,0.196,farming,17
Coast,60.0,87.5,6.58,1,0.039,0.456,farming,0
Northern,83.2,181.4,1.08,8,0.292,0.376,mining,24
Nairobi,84.7,51.1,1.94,4,0.379,0.531,trade,14
Plateau,52.5,69.6,2.45,5,0.31,0.381,education,11
Western,73.4,47.0,0.38,3,0.217,0.49,education,15
Lagos,70.7,104.9,0.6,3,0.212,0.644,farming,10
Rift Valley,61.5,29.5,1.25,4,0.186,0.129,fishing,34
Western,77.3,134.1,0.89,8,0.132,0.47,farming,29
Plateau,67.4,177.5,3.89,4,0.23,0.254,trade,18
Greater Accra,54.3,108.2,11.98,4,0.332,0.705,education,0
Nairobi,69.3,320.6,1.12,7,0.178,0.158,farming,40
Volta,70.5,43.8,3.8,4,0.172,0.093,mining,26
Rift Valley,73.1,77.8,5.06,11,0.455,0.339,farming,23
Eastern,59.7,8.7,4.24,6,0.31,0.461,farming,11
Kano,78.2,54.3,0.56,8,0.251,0.49,fishing,25
Nyanza,79.4,78.9,10.61,3,0.084,0.048,farming,29
Coast,60.5,70.4,0.41,4,0.138,0.097,trade,34
Northern,65.4,121.9,5.06,4,0.172,0.469,fishing,6
Western,71.2,69.2,9.23,5,0.295,0.751,fishing,0
Lagos,66.3,103.0,1.25,6,0.132,0.325,education,41
Ashanti,89.4,211.1,5.53,7,0.631,0.539,farming,3
Rivers,74.1,161.1,0.44,7,0.483,0.559,trade,26
Western,61.9,116.0,5.55,4,0.197,0.518,education,0
Plateau,64.1,46.1,1.93,3,0.501,0.117,trade,17
Kano,71.4,98.2,0.84,1,0.154,0.225,farming,21
Eastern,95.0,63.3,1.11,4,0.181,0.493,trade,28
Kaduna,70.2,27.7,8.53,3,0.041,0.314,fishing,18
Lagos,73.3,77.7,13.67,7,0.336,0.73,farming,0
Eastern,77.1,51.6,9.57,4,0.236,0.499,trade,9
Western,71.6,78.8,2.92,4,0.57,0.731,education,0
Nairobi,94.8,226.3,4.53,3,0.305,0.729,trade,7
Rift Valley,66.7,181.1,3.97,2,0.297,0.475,education,8
Northern,79.4,60.2,1.77,5,0.524,0.803,farming,0
Plateau,73.6,67.7,3.57,4,0.162,0.138,trade,22
Western,78.2,56.6,0.14,5,0.301,0.294,mining,33
Eastern,60.2,221.5,1.9,5,0.187,0.651,farming,9
Volta,89.7,45.2,5.08,4,0.608,0.722,fishing,0
Cross River,70.8,48.0,5.6,4,0.242,0.632,farming,0
Rivers,72.3,80.3,0.63,10,0.275,0.244,education,32
Kano,62.7,309.3,3.36,4,0.077,0.458,trade,9
Kano,64.7,68.7,3.79,1,0.777,0.816,education,0
Eastern,77.6,233.0,0.46,9,0.411,0.217,farming,42
Plateau,81.9,91.3,0.58,7,0.385,0.207,farming,25
Eastern,79.5,75.4,0.64,6,0.064,0.339,education,31
Western,84.1,81.7,5.57,4,0.209,0.074,trade,20
Rift Valley,79.1,27.4,6.82,2,0.153,0.027,farming,32
Western,72.3,142.6,2.46,4,0.261,0.524,farming,13
Greater Accra,80.4,102.6,3.89,7,0.365,0.209,farming,25
Coast,77.9,237.3,17.38,3,0.272,0.761,farming,0
Western,71.0,78.4,2.26,4,0.51,0.22,education,19
Coast,79.3,11.5,5.14,8,0.284,0.372,education,17
Northern,84.9,78.9,6.93,4,0.425,0.194,farming,19
Rivers,74.3,192.6,0.21,4,0.108,0.15,education,29
Eastern,68.4,17.4,16.13,5,0.231,0.085,education,25
Eastern,79.2,99.3,0.67,1,0.452,0.571,fishing,5
Kaduna,91.0,31.0,0.95,3,0.052,0.287,trade,31
Western,69.9,123.2,0.77,2,0.262,0.095,farming,26
Volta,71.1,85.4,8.07,6,0.033,0.382,fishing,22
Western,70.6,238.7,4.79,8,0.533,0.294,farming,13
Rivers,84.2,66.9,4.88,5,0.423,0.172,education,19
Western,53.6,77.7,0.24,4,0.302,0.102,fishing,26
Western,75.7,34.1,1.64,7,0.182,0.536,trade,17
Nyanza,83.9,30.7,16.46,7,0.233,0.258,fishing,17
Nyanza,63.9,94.9,5.7,6,0.285,0.258,mining,23
