region,rainfall_mm,temperature_c,humidity_pct,vegetation_index,vector_density,bednet_coverage,land_use,disease_cases
Western,43.8,27.5,64.7,0.818,13.5,0.347,urban,3
Volta,70.8,24.7,84.5,0.258,21.2,0.67,urban,0
Ashanti,27.7,25.8,74.8,0.535,23.4,0.611,urban,2
Northern,44.2,30.3,67.4,0.829,270.6,0.652,rural_agriculture,3
Kano,88.1,32.4,67.7,0.572,94.0,0.545,forest,1
Rift Valley,103.2,28.6,71.3,0.825,211.4,0.628,rural_agriculture,2
Kaduna,131.1,25.1,97.1,0.75,118.0,0.566,rural_agriculture,9
Ashanti,28.6,30.1,71.0,0.633,357.0,0.645,rural_agriculture,5
Lagos,75.6,25.9,66.8,0.329,28.0,0.681,urban,0
Rivers,138.9,25.8,56.9,0.933,262.9,0.745,rural_agriculture,0
Rift Valley,72.7,26.2,55.1,0.638,137.1,0.782,rural_agriculture,0
Coast,132.2,28.8,46.9,0.676,27.5,0.223,peri_urban,3
Nyanza,40.1,27.8,72.5,0.722,105.1,0.57,urban,2
Western,108.7,30.0,70.0,0.14,44.6,0.203,peri_urban,8
Western,163.8,30.9,57.3,0.668,48.7,0.44,rural_agriculture,5
Greater Accra,14.7,28.5,51.8,0.321,98.5,0.485,urban,0
Rivers,31.5,20.0,65.8,0.96,287.7,0.439,rural_agriculture,8
Volta,143.4,21.9,63.4,0.406,19.5,0.352,peri_urban,2
Western,44.3,27.5,53.6,0.176,72.1,0.322,forest,5
Plateau,73.4,26.8,73.3,0.948,73.7,0.842,urban,0
Northern,138.0,33.5,71.4,0.588,152.0,0.305,forest,5
Rivers,125.3,26.9,69.1,0.225,149.6,0.642,forest,3
Volta,106.2,26.5,78.9,0.369,93.5,0.419,forest,2
Eastern,76.6,29.8,61.8,0.801,123.4,0.677,rural_agriculture,2
Coast,124.4,30.2,86.0,0.347,276.0,0.546,forest,14
Kano,99.3,26.3,57.5,0.649,117.9,0.505,rural_agriculture,5
Nairobi,202.7,28.4,75.8,0.764,320.8,0.404,peri_urban,17
Nairobi,119.8,23.6,77.3,0.072,166.2,0.82,forest,5
Nyanza,153.8,24.2,66.5,0.538,158.9,0.494,rural_agriculture,6
Kano,190.3,30.7,73.9,0.714,91.4,0.39,peri_urban,6
Western,19.6,22.8,54.2,0.528,29.5,0.58,peri_urban,0
Plateau,69.4,29.8,51.6,0.582,244.8,0.637,peri_urban,0
Eastern,94.4,29.0,67.2,0.772,200.6,0.469,rural_agriculture,7
Nyanza,73.5,29.3,60.9,0.557,30.4,0.795,rural_agriculture,0
Western,110.8,29.7,76.7,0.26,33.8,0.485,forest,1
Nairobi,40.7,28.7,70.0,0.493,57.9,0.722,rural_agriculture,0
Lagos,194.2,20.6,77.0,0.503,81.7,0.659,urban,2
Kano,305.1,24.0,73.4,0.333,45.5,0.572,forest,3
Greater Accra,61.0,25.2,72.1,0.713,60.8,0.938,rural_agriculture,0
Western,131.4,29.7,70.7,0.379,84.9,0.562,rural_agriculture,5
Northern,56.1,23.6,65.1,0.561,36.6,0.307,peri_urban,8
Lagos,171.2,24.9,64.0,0.022,39.6,0.778,peri_urban,0
