region,rainfall_mm,temperature_c,population_density,sanitation_index,water_source,open_defecation_rate,disease_cases
Kaduna,34.8,28.4,109.5,0.373,well,0.147,0
Cross River,56.3,28.6,148.7,0.496,borehole,0.589,20
Coast,43.7,26.3,20.0,0.45,lake,0.288,0
Nyanza,222.1,26.7,232.5,0.569,well,0.221,0
Greater Accra,96.4,28.5,18.7,0.434,well,0.173,0
Eastern,86.6,25.5,108.9,0.062,river,0.085,5
Rift Valley,73.5,25.5,351.2,0.391,well,0.121,0
Nyanza,101.0,30.3,589.5,0.74,piped,0.33,0
Volta,131.9,28.6,150.1,0.326,borehole,0.148,6
Northern,99.6,33.0,217.2,0.53,well,0.068,0
Western,79.5,25.0,49.1,0.547,borehole,0.475,0
Kano,93.2,22.6,55.6,0.571,borehole,0.398,8
Volta,97.3,30.8,289.9,0.089,borehole,0.314,25
Rift Valley,145.3,30.8,90.2,0.328,river,0.2,0
Volta,34.3,25.7,79.3,0.433,river,0.123,0
Kano,189.7,23.5,22.0,0.151,borehole,0.117,14
Plateau,96.5,27.8,104.6,0.376,piped,0.134,0
Cross River,35.4,22.7,171.7,0.15,piped,0.187,3
Ashanti,91.9,26.9,40.7,0.418,piped,0.24,8
Greater Accra,97.0,21.4,54.2,0.16,borehole,0.286,13
Western,180.8,27.2,437.2,0.264,piped,0.089,3
Coast,5.0,21.5,107.6,0.169,well,0.385,28
Western,22.1,27.2,67.5,0.209,piped,0.028,0
Cross River,96.9,32.5,28.9,0.005,well,0.255,26
Rift Valley,37.9,27.1,48.4,0.289,well,0.136,0
Northern,268.3,30.2,70.1,0.241,lake,0.277,28
Kaduna,110.5,26.0,353.9,0.038,river,0.365,20
Rift Valley,85.3,25.2,48.9,0.491,piped,0.436,14
Eastern,249.6,23.4,541.5,0.231,well,0.36,30
Northern,70.4,31.0,35.6,0.402,borehole,0.104,0
Eastern,53.9,27.7,63.0,0.298,piped,0.174,0
Kaduna,57.5,32.7,209.3,0.518,well,0.134,0
