dataset,n_rows,backend,ks_mean,wasserstein_mean,tvd_mean,corr_distance,tstr_r2_ratio,tstr_f1_ratio,fit_seconds,sample_seconds,disk_bytes
skin_ntd,300,ctgan,0.3359,0.8167,0.0956,0.1501,-1.5861,0.2989,4.5333,0.0485,912190.6667
skin_ntd,300,ours_copula,0.0432,0.0657,0.0539,0.0456,0.943,1.0953,0.0036,0.0021,19169.0
skin_ntd,300,sdv_copula,0.1013,0.1614,0.075,0.052,0.4048,0.4711,0.3384,0.0343,92356.6667
skin_ntd,300,tvae,0.316,0.4996,0.6922,0.0993,0.2482,0.4851,1.5455,0.0448,346571.0
skin_ntd,1000,ctgan,0.2206,0.4991,0.0865,0.1334,-0.4042,0.0342,9.2434,0.0602,983206.0
skin_ntd,1000,ours_copula,0.0261,0.0351,0.0415,0.0285,1.0038,1.0112,0.0048,0.0052,58369.0
skin_ntd,1000,sdv_copula,0.0469,0.0664,0.0423,0.0293,0.9423,1.0683,0.4001,0.0442,92356.6667
skin_ntd,1000,tvae,0.2795,0.4555,0.704,0.1458,0.4286,0.8233,3.0869,0.0515,360550.6667
vector_borne,300,ctgan,0.3057,0.7069,0.0983,0.1445,-0.8598,0.6259,4.3959,0.0465,902660.0
vector_borne,300,ours_copula,0.0424,0.0579,0.0622,0.0428,1.0291,1.1507,0.0039,0.0024,19123.0
vector_borne,300,sdv_copula,0.1032,0.1605,0.0561,0.0537,0.0802,0.1003,0.3228,0.0343,92239.6667
vector_borne,300,tvae,0.3195,0.5048,0.6583,0.0991,-0.0828,1.1682,1.5469,0.0455,344987.0
vector_borne,1000,ctgan,0.2579,0.5941,0.0647,0.1447,-0.0741,0.0149,9.0048,0.0582,970126.6667
vector_borne,1000,ours_copula,0.0257,0.0379,0.0305,0.0295,0.948,1.0201,0.0048,0.0049,58323.0
vector_borne,1000,sdv_copula,0.0758,0.0912,0.0375,0.0376,0.5591,0.5014,0.389,0.0446,92238.3333
vector_borne,1000,tvae,0.3,0.4734,0.6873,0.0938,0.2355,0.6609,3.1332,0.0485,359048.6667
water_borne,300,ctgan,0.3752,0.8126,0.07,0.1726,-0.4934,0.1914,4.5108,0.0444,877981.0
water_borne,300,ours_copula,0.0441,0.0663,0.0611,0.0366,0.913,1.082,0.0035,0.002,16522.0
water_borne,300,sdv_copula,0.1072,0.1555,0.0667,0.0446,0.3545,0.6442,0.3309,0.0335,86378.0
water_borne,300,tvae,0.357,0.5411,0.6761,0.1466,-0.6092,0.0,1.345,0.0434,325128.3333
water_borne,1000,ctgan,0.3103,0.7432,0.0577,0.1583,-0.7296,0.3022,8.8103,0.0539,935918.0
water_borne,1000,ours_copula,0.0255,0.0357,0.0368,0.0316,0.9609,0.9528,0.0046,0.0046,50122.0
water_borne,1000,sdv_copula,0.0941,0.1272,0.039,0.0332,0.5792,0.9624,0.3862,0.0401,86371.3333
water_borne,1000,tvae,0.3691,0.5581,0.6167,0.1148,0.1594,0.1646,2.8757,0.0449,338090.0
